,category_l_code,category_l_name
0,RSFST09000,居酒屋
1,RSFST02000,日本料理・郷土料理
2,RSFST03000,すし・魚料理・シーフード
3,RSFST04000,鍋
4,RSFST05000,焼肉・ホルモン
5,RSFST06000,焼き鳥・肉料理・串料理
6,RSFST01000,和食
7,RSFST07000,お好み焼き・粉物
8,RSFST08000,ラーメン・麺料理
9,RSFST14000,中華
10,RSFST11000,イタリアン・フレンチ
11,RSFST13000,洋食
12,RSFST12000,欧米・各国料理
13,RSFST16000,カレー
14,RSFST15000,アジア・エスニック料理
15,RSFST17000,オーガニック・創作料理
16,RSFST10000,ダイニングバー・バー・ビアホール
17,RSFST21000,お酒
18,RSFST18000,カフェ・スイーツ
19,RSFST19000,宴会・カラオケ・エンターテイメント
20,RSFST20000,ファミレス・ファーストフード
21,RSFST90000,その他の料理
