,category_l_code,category_s_code,category_s_name
0,RSFST09000,RSFST09004,居酒屋
1,RSFST02000,RSFST02001,懐石料理
2,RSFST02000,RSFST02002,会席料理
3,RSFST02000,RSFST02003,割烹
4,RSFST02000,RSFST02004,小料理
5,RSFST02000,RSFST06007,すき焼き
6,RSFST02000,RSFST06008,しゃぶしゃぶ
7,RSFST02000,RSFST02005,沖縄料理
8,RSFST02000,RSFST02006,郷土料理
9,RSFST02000,RSFST02007,ほうとう
10,RSFST02000,RSFST02008,きりたんぽ鍋
11,RSFST02000,RSFST02009,釜飯(釜めし)
12,RSFST02000,RSFST02010,京料理
13,RSFST02000,RSFST02011,おばんざい
14,RSFST02000,RSFST02012,精進料理
15,RSFST02000,RSFST02014,料亭
16,RSFST03000,RSFST03001,寿司
17,RSFST03000,RSFST03002,回転寿司
18,RSFST03000,RSFST03014,海鮮丼
19,RSFST03000,RSFST03003,刺身・海鮮料理
20,RSFST03000,RSFST03004,かに料理
21,RSFST03000,RSFST03005,ふぐ料理・てっちり
22,RSFST03000,RSFST03006,すっぽん料理
23,RSFST03000,RSFST03007,うなぎ
24,RSFST03000,RSFST03008,どじょう料理
25,RSFST03000,RSFST03009,はも料理
26,RSFST03000,RSFST03010,シーフード料理
27,RSFST03000,RSFST03015,牡蠣料理（かき料理）
28,RSFST03000,RSFST03011,オイスターバー
29,RSFST03000,RSFST03012,鯨料理
30,RSFST03000,RSFST03016,あなご料理
31,RSFST03000,RSFST03013,すし・魚料理 その他
32,RSFST04000,RSFST04001,鍋料理
33,RSFST04000,RSFST04002,ちゃんこ鍋
34,RSFST04000,RSFST04003,水炊き
35,RSFST04000,RSFST04004,もつ鍋
36,RSFST04000,RSFST04005,火鍋
37,RSFST04000,RSFST04007,鍋 その他
38,RSFST05000,RSFST05001,焼肉
39,RSFST05000,RSFST05004,サムギョプサル
40,RSFST05000,RSFST05002,ホルモン
41,RSFST05000,RSFST05003,ジンギスカン
42,RSFST06000,RSFST06001,牛タン
43,RSFST06000,RSFST06002,串揚げ
44,RSFST06000,RSFST06003,焼き鳥
45,RSFST06000,RSFST06004,鶏料理(鳥料理)
46,RSFST06000,RSFST06005,炭火焼き・炉端焼き
47,RSFST06000,RSFST06006,鉄板焼き
48,RSFST06000,RSFST06009,ステーキ
49,RSFST06000,RSFST06010,ハンバーグ
50,RSFST06000,RSFST06012,串焼き
51,RSFST06000,RSFST06013,豚肉料理
52,RSFST06000,RSFST06014,馬肉料理
53,RSFST06000,RSFST06015,串カツ 
54,RSFST06000,RSFST06017,もつ焼き
55,RSFST06000,RSFST06018,鴨料理
56,RSFST06000,RSFST06016,焼き鳥・肉料理・串料理 その他
57,RSFST01000,RSFST01001,定食・食事処
58,RSFST01000,RSFST01002,家庭料理
59,RSFST01000,RSFST01003,おでん
60,RSFST01000,RSFST01004,天ぷら
61,RSFST01000,RSFST01005,とんかつ（トンカツ）
62,RSFST01000,RSFST01006,丼物
63,RSFST01000,RSFST01007,親子丼
64,RSFST01000,RSFST01008,牛丼
65,RSFST01000,RSFST01009,天丼
66,RSFST01000,RSFST01010,カツ丼(かつ丼)
67,RSFST01000,RSFST01011,豆腐料理
68,RSFST01000,RSFST01012,湯豆腐
69,RSFST01000,RSFST02013,湯葉料理(ゆば)
70,RSFST01000,RSFST01013,弁当屋
71,RSFST01000,RSFST01015,和食 その他
72,RSFST07000,RSFST07001,お好み焼き
73,RSFST07000,RSFST07002,広島風お好み焼き
74,RSFST07000,RSFST07003,もんじゃ焼き
75,RSFST07000,RSFST07004,たこ焼き
76,RSFST07000,RSFST07005,明石焼き
77,RSFST07000,RSFST07006,焼きそば
78,RSFST07000,RSFST07008,お好み焼き・粉物 その他
79,RSFST08000,RSFST08001,そば
80,RSFST08000,RSFST08002,うどん
81,RSFST08000,RSFST08003,讃岐うどん
82,RSFST08000,RSFST08004,カレーうどん
83,RSFST08000,RSFST08005,ちゃんぽん
84,RSFST08000,RSFST08006,沖縄そば
85,RSFST08000,RSFST08007,冷麺
86,RSFST08000,RSFST08008,ラーメン
87,RSFST08000,RSFST08009,つけ麺
88,RSFST08000,RSFST08012,担々麺
89,RSFST08000,RSFST08013,刀削麺
90,RSFST08000,RSFST08011,ラーメン・麺料理 その他
91,RSFST14000,RSFST14001,広東料理
92,RSFST14000,RSFST14002,北京料理
93,RSFST14000,RSFST14003,四川料理
94,RSFST14000,RSFST14004,上海料理
95,RSFST14000,RSFST14005,台湾料理
96,RSFST14000,RSFST14006,香港料理
97,RSFST14000,RSFST14007,中華料理
98,RSFST14000,RSFST14008,餃子
99,RSFST14000,RSFST14009,飲茶・点心
100,RSFST14000,RSFST14010,チャーハン
101,RSFST14000,RSFST14011,中華 その他
102,RSFST11000,RSFST11001,フレンチ(フランス料理)
103,RSFST11000,RSFST11002,イタリアン(イタリア料理)
104,RSFST11000,RSFST11003,パスタ
105,RSFST11000,RSFST11004,ピザ
