,areacode_l,areaname_l,pref.pref_code,pref.pref_name
0,AREAL5500,札幌駅・大通・すすきの,PREF01,北海道
1,AREAL5522,円山公園・西18丁目・宮の森,PREF01,北海道
2,AREAL5520,琴似・手稲,PREF01,北海道
3,AREAL5540,白石・南郷・新さっぽろ,PREF01,北海道
4,AREAL5560,平岸・澄川・月寒・清田,PREF01,北海道
5,AREAL5580,北24条・麻生・元町・栄町,PREF01,北海道
6,AREAL5800,旭川・富良野・名寄,PREF01,北海道
7,AREAL5700,函館・松前・奥尻,PREF01,北海道
8,AREAL5600,小樽・ニセコ・積丹,PREF01,北海道
9,AREAL5610,石狩・江別・千歳,PREF01,北海道
10,AREAL5710,苫小牧・室蘭,PREF01,北海道
11,AREAL5802,夕張・岩見沢,PREF01,北海道
12,AREAL5804,羽幌・留萌,PREF01,北海道
13,AREAL5806,稚内・宗谷,PREF01,北海道
14,AREAL5712,日高・えりも,PREF01,北海道
15,AREAL5902,帯広・十勝,PREF01,北海道
16,AREAL5900,釧路・阿寒,PREF01,北海道
17,AREAL5906,根室・中標津,PREF01,北海道
18,AREAL5908,網走,PREF01,北海道
19,AREAL5910,北見・紋別,PREF01,北海道
20,AREAL6205,仙台市,PREF04,宮城県
21,AREAL6260,名取・白石・宮城県南部,PREF04,宮城県
22,AREAL6266,大崎・古川・登米,PREF04,宮城県
23,AREAL6100,青森市,PREF02,青森県
24,AREAL6101,弘前・黒石・平川,PREF02,青森県
25,AREAL6103,つがる・鰺ヶ沢・深浦,PREF02,青森県
26,AREAL6104,五所川原・中泊,PREF02,青森県
27,AREAL6105,十和田・七戸・東北町,PREF02,青森県
28,AREAL6106,三沢・三戸・五戸,PREF02,青森県
29,AREAL6102,八戸,PREF02,青森県
30,AREAL6107,むつ市・大間・野辺地,PREF02,青森県
31,AREAL6150,盛岡,PREF03,岩手県
32,AREAL6151,二戸・八幡平・滝沢,PREF03,岩手県
33,AREAL6154,奥州・一関・平泉,PREF03,岩手県
34,AREAL6152,花巻・北上・遠野,PREF03,岩手県
35,AREAL6153,三陸海岸沿岸部,PREF03,岩手県
36,AREAL6250,松島・石巻・気仙沼,PREF04,宮城県
37,AREAL6300,秋田市,PREF05,秋田県
38,AREAL6301,能代・山本・男鹿,PREF05,秋田県
39,AREAL6303,由利本荘・にかほ,PREF05,秋田県
40,AREAL6304,北秋田・大館・鹿角,PREF05,秋田県
41,AREAL6302,仙北・大仙・横手,PREF05,秋田県
42,AREAL6305,湯沢・羽後,PREF05,秋田県
43,AREAL6350,山形市,PREF06,山形県
44,AREAL6351,米沢・置賜,PREF06,山形県
45,AREAL6353,天童・尾花沢・寒河江,PREF06,山形県
46,AREAL6354,新庄・最上,PREF06,山形県
47,AREAL6352,酒田・遊佐,PREF06,山形県
48,AREAL6355,鶴岡・庄内,PREF06,山形県
49,AREAL6400,福島市,PREF07,福島県
50,AREAL6403,二本松・本宮,PREF07,福島県
51,AREAL6404,伊達・桑折・川俣,PREF07,福島県
52,AREAL6405,郡山,PREF07,福島県
53,AREAL6406,田村・小野・三春,PREF07,福島県
54,AREAL6407,須賀川・天栄,PREF07,福島県
55,AREAL6408,古殿・石川町・玉川村,PREF07,福島県
56,AREAL6409,白河・矢吹,PREF07,福島県
57,AREAL6401,いわき,PREF07,福島県
58,AREAL6410,浪江・大熊・広野,PREF07,福島県
59,AREAL6411,相馬・南相馬,PREF07,福島県
60,AREAL6402,会津若松・喜多方,PREF07,福島県
61,AREAL6412,下郷・南会津・只見,PREF07,福島県
62,AREAL2101,銀座・有楽町・築地,PREF13,東京都
63,AREAL2107,新橋・浜松町・田町,PREF13,東京都
64,AREAL2133,赤坂・六本木・麻布,PREF13,東京都
65,AREAL2184,飯田橋・四ツ谷・神楽坂,PREF13,東京都
66,AREAL2308,溝の口・たまプラーザ・青葉台,PREF14,神奈川県
67,AREAL2322,横浜・東神奈川,PREF14,神奈川県
68,AREAL2336,みなとみらい・関内・中華街,PREF14,神奈川県
69,AREAL2432,朝霞・川越・坂戸,PREF11,埼玉県
70,AREAL2452,所沢・入間・狭山,PREF11,埼玉県
71,AREAL2542,柏・松戸・我孫子,PREF12,千葉県
72,AREAL2562,成田・八千代・佐倉,PREF12,千葉県
73,AREAL2564,内房・外房・銚子,PREF12,千葉県
74,AREAL2603,渋川・伊香保,PREF10,群馬県
75,AREAL2604,富岡・藤岡・安中,PREF10,群馬県
76,AREAL2605,伊勢崎,PREF10,群馬県
77,AREAL2802,つくば,PREF08,茨城県
78,AREAL2805,県南地域,PREF08,茨城県
79,AREAL2115,新宿・代々木,PREF13,東京都
80,AREAL2116,大久保・高田馬場,PREF13,東京都
