,areacode_m,areaname_m,garea_large.areacode_l,garea_large.areaname_l,pref.pref_code,pref.pref_name
0,AREAM5502,札幌駅,AREAL5500,札幌駅・大通・すすきの,PREF01,北海道
1,AREAM5504,札幌大通・狸小路,AREAL5500,札幌駅・大通・すすきの,PREF01,北海道
2,AREAM5909,札幌すすきの,AREAL5500,札幌駅・大通・すすきの,PREF01,北海道
3,AREAM5910,電車通り,AREAL5500,札幌駅・大通・すすきの,PREF01,北海道
4,AREAM5522,円山公園・西18丁目・宮の森,AREAL5522,円山公園・西18丁目・宮の森,PREF01,北海道
5,AREAM5524,琴似・西区,AREAL5520,琴似・手稲,PREF01,北海道
6,AREAM5911,手稲区,AREAL5520,琴似・手稲,PREF01,北海道
7,AREAM5542,白石区,AREAL5540,白石・南郷・新さっぽろ,PREF01,北海道
8,AREAM5544,南郷・北郷,AREAL5540,白石・南郷・新さっぽろ,PREF01,北海道
9,AREAM5546,新さっぽろ・厚別区,AREAL5540,白石・南郷・新さっぽろ,PREF01,北海道
10,AREAM5562,豊平区（平岸・月寒）,AREAL5560,平岸・澄川・月寒・清田,PREF01,北海道
11,AREAM5914,南区（澄川・真駒内）,AREAL5560,平岸・澄川・月寒・清田,PREF01,北海道
12,AREAM5566,清田区,AREAL5560,平岸・澄川・月寒・清田,PREF01,北海道
13,AREAM5582,北区（北24条・麻生）,AREAL5580,北24条・麻生・元町・栄町,PREF01,北海道
14,AREAM5586,東区（元町・栄町）,AREAL5580,北24条・麻生・元町・栄町,PREF01,北海道
15,AREAM5800,旭川,AREAL5800,旭川・富良野・名寄,PREF01,北海道
16,AREAM5803,富良野・美瑛,AREAL5800,旭川・富良野・名寄,PREF01,北海道
17,AREAM5810,上川・和寒,AREAL5800,旭川・富良野・名寄,PREF01,北海道
18,AREAM5811,名寄・士別,AREAL5800,旭川・富良野・名寄,PREF01,北海道
19,AREAM5702,函館,AREAL5700,函館・松前・奥尻,PREF01,北海道
20,AREAM5704,七飯・松前・渡島,AREAL5700,函館・松前・奥尻,PREF01,北海道
21,AREAM5706,江差・奥尻・檜山,AREAL5700,函館・松前・奥尻,PREF01,北海道
22,AREAM5602,小樽,AREAL5600,小樽・ニセコ・積丹,PREF01,北海道
23,AREAM5710,ニセコ・倶知安,AREAL5600,小樽・ニセコ・積丹,PREF01,北海道
24,AREAM5605,余市・積丹,AREAL5600,小樽・ニセコ・積丹,PREF01,北海道
25,AREAM5607,島牧・寿都・黒松内,AREAL5600,小樽・ニセコ・積丹,PREF01,北海道
26,AREAM5915,石狩,AREAL5610,石狩・江別・千歳,PREF01,北海道
27,AREAM5604,江別・北広島・恵庭,AREAL5610,石狩・江別・千歳,PREF01,北海道
28,AREAM5606,千歳,AREAL5610,石狩・江別・千歳,PREF01,北海道
29,AREAM5708,苫小牧,AREAL5710,苫小牧・室蘭,PREF01,北海道
30,AREAM5912,室蘭,AREAL5710,苫小牧・室蘭,PREF01,北海道
31,AREAM5802,夕張・岩見沢,AREAL5802,夕張・岩見沢,PREF01,北海道
32,AREAM5804,羽幌・留萌,AREAL5804,羽幌・留萌,PREF01,北海道
33,AREAM5806,稚内・宗谷,AREAL5806,稚内・宗谷,PREF01,北海道
34,AREAM5712,日高・えりも,AREAL5712,日高・えりも,PREF01,北海道
35,AREAM5902,帯広・十勝,AREAL5902,帯広・十勝,PREF01,北海道
36,AREAM5904,釧路・阿寒,AREAL5900,釧路・阿寒,PREF01,北海道
37,AREAM5906,根室・中標津,AREAL5906,根室・中標津,PREF01,北海道
38,AREAM5908,網走,AREAL5908,網走,PREF01,北海道
39,AREAM5913,北見,AREAL5910,北見・紋別,PREF01,北海道
40,AREAM5916,紋別,AREAL5910,北見・紋別,PREF01,北海道
41,AREAM6202,仙台,AREAL6205,仙台市,PREF04,宮城県
42,AREAM6214,青葉区郊外,AREAL6205,仙台市,PREF04,宮城県
43,AREAM6222,泉区・泉中央・富谷,AREAL6205,仙台市,PREF04,宮城県
44,AREAM6232,長町・太白区,AREAL6205,仙台市,PREF04,宮城県
45,AREAM6240,宮城野区・若林区,AREAL6205,仙台市,PREF04,宮城県
46,AREAM6262,名取・沿岸南部,AREAL6260,名取・白石・宮城県南部,PREF04,宮城県
47,AREAM6266,大崎・古川・登米,AREAL6266,大崎・古川・登米,PREF04,宮城県
48,AREAM6268,白石・蔵王,AREAL6260,名取・白石・宮城県南部,PREF04,宮城県
49,AREAM6102,青森市,AREAL6100,青森市,PREF02,青森県
50,AREAM6104,弘前,AREAL6101,弘前・黒石・平川,PREF02,青森県
51,AREAM6105,黒石・平川,AREAL6101,弘前・黒石・平川,PREF02,青森県
52,AREAM6433,つがる・鰺ヶ沢・深浦,AREAL6103,つがる・鰺ヶ沢・深浦,PREF02,青森県
53,AREAM6106,五所川原・中泊,AREAL6104,五所川原・中泊,PREF02,青森県
54,AREAM6107,十和田,AREAL6105,十和田・七戸・東北町,PREF02,青森県
55,AREAM6108,七戸・東北町,AREAL6105,十和田・七戸・東北町,PREF02,青森県
56,AREAM6109,三沢,AREAL6106,三沢・三戸・五戸,PREF02,青森県
57,AREAM6110,三戸・五戸・おいらせ,AREAL6106,三沢・三戸・五戸,PREF02,青森県
58,AREAM6112,八戸,AREAL6102,八戸,PREF02,青森県
59,AREAM6434,むつ市・大間・野辺地,AREAL6107,むつ市・大間・野辺地,PREF02,青森県
60,AREAM6152,盛岡,AREAL6150,盛岡,PREF03,岩手県
61,AREAM6161,二戸,AREAL6151,二戸・八幡平・滝沢,PREF03,岩手県
62,AREAM6162,八幡平・滝沢・紫波,AREAL6151,二戸・八幡平・滝沢,PREF03,岩手県
63,AREAM6163,奥州・金ケ崎,AREAL6154,奥州・一関・平泉,PREF03,岩手県
64,AREAM6164,一関・平泉,AREAL6154,奥州・一関・平泉,PREF03,岩手県
65,AREAM6172,花巻,AREAL6152,花巻・北上・遠野,PREF03,岩手県
66,AREAM6174,北上・西和賀,AREAL6152,花巻・北上・遠野,PREF03,岩手県
