,areacode_s,areaname_s,garea_large.areacode_l,garea_large.areaname_l,garea_middle.areacode_m,garea_middle.areaname_m,pref.pref_code,pref.pref_name
0,AREAS5502,札幌駅,AREAL5500,札幌駅・大通・すすきの,AREAM5502,札幌駅,PREF01,北海道
1,AREAS5504,札幌大通・狸小路,AREAL5500,札幌駅・大通・すすきの,AREAM5504,札幌大通・狸小路,PREF01,北海道
2,AREAS5506,札幌すすきの,AREAL5500,札幌駅・大通・すすきの,AREAM5909,札幌すすきの,PREF01,北海道
3,AREAS5507,電車通り,AREAL5500,札幌駅・大通・すすきの,AREAM5910,電車通り,PREF01,北海道
4,AREAS5522,円山公園・西18丁目・宮の森,AREAL5522,円山公園・西18丁目・宮の森,AREAM5522,円山公園・西18丁目・宮の森,PREF01,北海道
5,AREAS5524,琴似・西区,AREAL5520,琴似・手稲,AREAM5524,琴似・西区,PREF01,北海道
6,AREAS5526,手稲区,AREAL5520,琴似・手稲,AREAM5911,手稲区,PREF01,北海道
7,AREAS5542,白石区,AREAL5540,白石・南郷・新さっぽろ,AREAM5542,白石区,PREF01,北海道
8,AREAS5544,南郷・北郷,AREAL5540,白石・南郷・新さっぽろ,AREAM5544,南郷・北郷,PREF01,北海道
9,AREAS5546,新さっぽろ・厚別区,AREAL5540,白石・南郷・新さっぽろ,AREAM5546,新さっぽろ・厚別区,PREF01,北海道
10,AREAS5562,平岸,AREAL5560,平岸・澄川・月寒・清田,AREAM5562,豊平区（平岸・月寒）,PREF01,北海道
11,AREAS5566,月寒・西岡,AREAL5560,平岸・澄川・月寒・清田,AREAM5562,豊平区（平岸・月寒）,PREF01,北海道
12,AREAS5564,澄川・真駒内,AREAL5560,平岸・澄川・月寒・清田,AREAM5914,南区（澄川・真駒内）,PREF01,北海道
13,AREAS5565,川沿・石山・その他南区,AREAL5560,平岸・澄川・月寒・清田,AREAM5914,南区（澄川・真駒内）,PREF01,北海道
14,AREAS5568,清田区,AREAL5560,平岸・澄川・月寒・清田,AREAM5566,清田区,PREF01,北海道
15,AREAS5582,北24条・北18条,AREAL5580,北24条・麻生・元町・栄町,AREAM5582,北区（北24条・麻生）,PREF01,北海道
16,AREAS5584,麻生,AREAL5580,北24条・麻生・元町・栄町,AREAM5582,北区（北24条・麻生）,PREF01,北海道
17,AREAS5585,その他北区,AREAL5580,北24条・麻生・元町・栄町,AREAM5582,北区（北24条・麻生）,PREF01,北海道
18,AREAS5586,東区役所,AREAL5580,北24条・麻生・元町・栄町,AREAM5586,東区（元町・栄町）,PREF01,北海道
19,AREAS5588,元町,AREAL5580,北24条・麻生・元町・栄町,AREAM5586,東区（元町・栄町）,PREF01,北海道
20,AREAS5589,栄町・その他東区,AREAL5580,北24条・麻生・元町・栄町,AREAM5586,東区（元町・栄町）,PREF01,北海道
21,AREAS5800,旭川,AREAL5800,旭川・富良野・名寄,AREAM5800,旭川,PREF01,北海道
22,AREAS5803,富良野・美瑛,AREAL5800,旭川・富良野・名寄,AREAM5803,富良野・美瑛,PREF01,北海道
23,AREAS5810,上川・和寒,AREAL5800,旭川・富良野・名寄,AREAM5810,上川・和寒,PREF01,北海道
24,AREAS5811,名寄・士別,AREAL5800,旭川・富良野・名寄,AREAM5811,名寄・士別,PREF01,北海道
25,AREAS5702,函館,AREAL5700,函館・松前・奥尻,AREAM5702,函館,PREF01,北海道
26,AREAS5704,七飯・松前・渡島,AREAL5700,函館・松前・奥尻,AREAM5704,七飯・松前・渡島,PREF01,北海道
27,AREAS5706,江差・奥尻・檜山,AREAL5700,函館・松前・奥尻,AREAM5706,江差・奥尻・檜山,PREF01,北海道
28,AREAS5602,小樽,AREAL5600,小樽・ニセコ・積丹,AREAM5602,小樽,PREF01,北海道
29,AREAS5710,ニセコ・倶知安,AREAL5600,小樽・ニセコ・積丹,AREAM5710,ニセコ・倶知安,PREF01,北海道
30,AREAS5605,余市・積丹,AREAL5600,小樽・ニセコ・積丹,AREAM5605,余市・積丹,PREF01,北海道
31,AREAS5607,島牧・寿都・黒松内,AREAL5600,小樽・ニセコ・積丹,AREAM5607,島牧・寿都・黒松内,PREF01,北海道
32,AREAS5603,石狩,AREAL5610,石狩・江別・千歳,AREAM5915,石狩,PREF01,北海道
33,AREAS5604,江別・北広島・恵庭,AREAL5610,石狩・江別・千歳,AREAM5604,江別・北広島・恵庭,PREF01,北海道
34,AREAS5606,千歳,AREAL5610,石狩・江別・千歳,AREAM5606,千歳,PREF01,北海道
35,AREAS5708,苫小牧,AREAL5710,苫小牧・室蘭,AREAM5708,苫小牧,PREF01,北海道
36,AREAS5909,室蘭,AREAL5710,苫小牧・室蘭,AREAM5912,室蘭,PREF01,北海道
37,AREAS5802,夕張・岩見沢,AREAL5802,夕張・岩見沢,AREAM5802,夕張・岩見沢,PREF01,北海道
38,AREAS5804,羽幌・留萌,AREAL5804,羽幌・留萌,AREAM5804,羽幌・留萌,PREF01,北海道
39,AREAS5806,稚内・宗谷,AREAL5806,稚内・宗谷,AREAM5806,稚内・宗谷,PREF01,北海道
40,AREAS5712,日高・えりも,AREAL5712,日高・えりも,AREAM5712,日高・えりも,PREF01,北海道
41,AREAS5902,帯広・十勝,AREAL5902,帯広・十勝,AREAM5902,帯広・十勝,PREF01,北海道
42,AREAS5904,釧路・阿寒,AREAL5900,釧路・阿寒,AREAM5904,釧路・阿寒,PREF01,北海道
